Feedstock,Pathway,Fuel,Stage,CI (kg CO2e/MJ),Share of Total %
Camelina,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,5. Conversion,0.04010,91.16537
Camelina,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,6. Combustion,0.00000,0.00000
Switchgrass,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,1. Cultivation,0.00305,6.81757
Switchgrass,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,2. Harvesting,0.00071,1.59703
Switchgrass,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,3. Transport,0.00048,1.07140
Switchgrass,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,4. Preprocessing,0.00037,0.81865
Switchgrass,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,5. Conversion,0.04010,89.69312
Switchgrass,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,6. Combustion,0.00000,0.00000
Forestry Residues,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,1. Cultivation,0.00000,0.00000
Forestry Residues,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,2. Harvesting,0.00109,2.42241
Forestry Residues,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,3. Transport,0.00073,1.62603
Forestry Residues,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,4. Preprocessing,0.00475,10.54371
Forestry Residues,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,5. Conversion,0.03850,85.40562
Forestry Residues,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,6. Combustion,0.00000,0.00000
Soybean Oil,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,1. Cultivation,0.00835,18.47417
Soybean Oil,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,2. Harvesting,0.00103,2.28410
Soybean Oil,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,3. Transport,0.00069,1.53158
Soybean Oil,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,4. Preprocessing,0.00031,0.68833
Soybean Oil,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,5. Conversion,0.03480,77.02182
Soybean Oil,Switchgrass → Cellulosic Ethanol (Dilute Acid),Ethanol,6. Combustion,0.00000,0.00000
Corn Grain,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,1. Cultivation,0.00468,10.08690
Corn Grain,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,2. Harvesting,0.00071,1.53956
Corn Grain,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,3. Transport,0.00048,1.03284
Corn Grain,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,4. Preprocessing,0.00040,0.87328
Corn Grain,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,5. Conversion,0.04010,86.46527
Corn Grain,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,6. Combustion,0.00000,0.00000
Soybean Oil,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,1. Cultivation,0.00578,12.22112
Soybean Oil,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,2. Harvesting,0.00071,1.50993
Soybean Oil,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,3. Transport,0.00048,1.01296
Soybean Oil,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,4. Preprocessing,0.00021,0.45467
Soybean Oil,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,5. Conversion,0.04010,84.80132
Soybean Oil,"Corn Grain → Ethanol (Dry Mill, Electric)",Ethanol,6. Combustion,0.00000,0.00000
Sugarcane Bagasse,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,1. Cultivation,0.00100,2.04374
Sugarcane Bagasse,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,2. Harvesting,0.00109,2.23176
Sugarcane Bagasse,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,3. Transport,0.00073,1.49806
Sugarcane Bagasse,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,4. Preprocessing,0.00760,15.54261
Sugarcane Bagasse,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,5. Conversion,0.03850,78.68383
Sugarcane Bagasse,Corn Stover → Cellulosic Ethanol (AFEX),Ethanol,6. Combustion,0.00000,0.00000
Miscanthus,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,1. Cultivation,0.00076,1.19277
Miscanthus,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,2. Harvesting,0.00041,0.64733
Miscanthus,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,3. Transport,0.00028,0.43416
Miscanthus,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,4. Preprocessing,0.00035,0.55015
Miscanthus,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,5. Conversion,0.06200,97.17716
Miscanthus,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,6. Combustion,0.00000,0.00000
Camelina,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,1. Cultivation,0.00156,2.42198
Camelina,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,2. Harvesting,0.00041,0.64285
Camelina,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,3. Transport,0.00028,0.43116
Camelina,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,4. Preprocessing,0.00000,0.00000
Camelina,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,5. Conversion,0.06200,96.50556
Camelina,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,6. Combustion,0.00000,0.00000
Switchgrass,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,1. Cultivation,0.00176,2.72339
Switchgrass,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,2. Harvesting,0.00041,0.63871
Switchgrass,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,3. Transport,0.00028,0.42838
Switchgrass,Algae → HEFA-SAF (Wet Lipid Extraction),SAF,4. Preprocessing,0.00021,0.32786
